         4529737 function calls (4520266 primitive calls) in 10.091 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    16365    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
     1800    0.003    0.000    0.009    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\artist.py:61(_stale_axes_callback)
      384    0.003    0.000    0.011    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\dtypes\cast.py:298(maybe_promote)
     1184    0.003    0.000    0.003    0.000 {method 'copy' of 'numpy.ndarray' objects}
      356    0.003    0.000    0.007    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\algorithms.py:1481(_get_take_nd_function)
       66    0.002    0.000    0.002    0.000 {built-in method numpy.copyto}
  496/328    0.002    0.000    0.008    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\transforms.py:2457(get_affine)
     1196    0.002    0.000    0.003    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\transforms.py:161(set_children)
      219    0.002    0.000    0.017    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\dtypes\concat.py:33(get_dtype_kinds)
     1637    0.002    0.000    0.013    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\dtypes\dtypes.py:912(is_dtype)
       68    0.002    0.000    0.004    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\internals\concat.py:28(get_mgr_concatenation_plan)
      270    0.002    0.000    0.017    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\text.py:131(__init__)
     3341    0.002    0.000    0.023    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\dtypes\common.py:539(is_datetime64tz_dtype)
       72    0.002    0.000    0.002    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
     2654    0.002    0.000    0.003    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\artist.py:310(pchanged)
      176    0.002    0.000    0.032    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\internals\blocks.py:3303(_merge_blocks)
      176    0.002    0.000    0.002    0.000 {method 'argsort' of 'numpy.ndarray' objects}
3762/3742    0.002    0.000    0.014    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\numeric.py:469(asarray)
      278    0.002    0.000    0.013    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\dtypes\missing.py:215(_isna_ndarraylike)
     1753    0.002    0.000    0.002    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      468    0.002    0.000    0.006    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\transforms.py:757(__init__)
     1186    0.002    0.000    0.006    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\transforms.py:1870(__init__)
      372    0.002    0.000    0.021    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\internals\concat.py:149(is_na)
      450    0.002    0.000    0.011    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\text.py:180(update)
